,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28
70,3,69,TEN,Nicholas Petit-Frere,T,22,2023,0,0,1,7,7,19,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.,College Stats
71,3,70,JAX,Chad Muma,LB,23,2023,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,36,,1.5,Wyoming,College Stats
72,3,71,CHI,Velus Jones Jr.,WR,25,2023,0,0,0,3,3,26,0,0,0,0,0,17,154,1,11,127,1,1,,,Tennessee,College Stats
73,3,72,SEA,Abraham Lucas,OL,23,2023,0,0,1,12,12,22,0,0,0,0,0,0,0,0,0,0,0,1,,,Washington St.,College Stats
74,3,73,IND,Jelani Woods,TE,23,2022,0,0,0,2,2,15,0,0,0,0,0,0,0,0,25,312,3,1,,,Virginia,College Stats
75,3,74,ATL,Desmond Ridder,QB,23,2023,0,0,0,12,12,19,322,503,3544,14,12,69,257,5,1,-6,0,,,,Cincinnati,College Stats
76,3,75,HOU,Christian Harris,LB,21,2023,0,0,1,12,12,28,0,0,0,0,0,0,0,0,0,0,0,111,1,3.0,Alabama,College Stats
77,3,76,BAL,Travis Jones,DT,22,2023,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,34,,2.5,Connecticut,College Stats
78,3,77,IND,Bernhard Raimann,OL,24,2023,0,0,1,12,12,31,0,0,0,0,0,0,0,0,0,0,0,,,,Central Michigan,College Stats
79,3,78,CLE,Alex Wright,DE,22,2023,0,0,0,6,6,33,0,0,0,0,0,0,0,0,0,0,0,29,,5.0,Ala-Birmingham,College Stats
80,3,79,LAC,JT Woods,S,22,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,7,,,Baylor,College Stats
81,3,80,DEN,Greg Dulcich,TE,22,2023,0,0,0,3,3,12,0,0,0,0,0,0,0,0,36,436,2,,,,UCLA,College Stats
82,3,81,NYG,Cordale Flott,CB,21,2023,0,0,0,5,5,25,0,0,0,0,0,0,0,0,0,0,0,40,1,,LSU,College Stats
83,3,82,ATL,DeAngelo Malone,DE,23,2023,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,22,,1.0,Western Kentucky,College Stats
84,3,83,PHI,Nakobe Dean,LB,21,2023,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,31,,0.5,Georgia,College Stats
85,3,84,PIT,DeMarvin Leal,DT,22,2023,0,0,0,4,4,23,0,0,0,0,0,0,0,0,0,0,0,18,,1.0,Texas A&M,College Stats
86,3,85,NWE,Marcus Jones,CB,23,2023,1,0,0,11,11,17,0,0,0,0,0,0,0,0,4,78,1,38,2,,Houston,College Stats
87,3,86,TEN,Malik Willis,QB,23,2023,0,0,0,1,1,11,35,66,350,0,3,32,144,1,0,0,0,1,,,Liberty,College Stats
88,3,87,ARI,Cameron Thomas,DE,22,2023,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,20,,3.0,San Diego St.,College Stats
89,3,88,DAL,Jalen Tolbert,WR,23,2023,0,0,0,3,3,25,0,0,0,0,0,0,0,0,24,280,2,4,,,South Alabama,College Stats
90,3,89,BUF,Terrel Bernard,LB,23,2023,0,0,0,13,13,33,0,0,0,0,0,0,0,0,0,0,0,95,3,6.5,Baylor,College Stats
